Date,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M,19M,20M,21M,22M,23M,24M,25M,26M,27M,28M,29M,30M,31M,32M,33M,34M,35M,36M,37M,38M,39M,40M,41M,42M,43M,44M,45M,46M,47M,48M,49M,50M,51M,52M,53M,54M,55M,56M,57M,58M,59M,60M
18/01/2016,0.462967562,0.463155567,0.463402935,0.463416267,0.463185382,0.462828387,0.462551428,0.46262532,0.463340777,0.464933676,0.467543108,0.471224394,0.475924796,0.48152518,0.487910221,0.494972156,0.502608555,0.510720847,0.519214257,0.528006424,0.537033224,0.546245353,0.555605109,0.56508397,0.574660666,0.584318676,0.594044206,0.603825589,0.613652918,0.623517756,0.633412897,0.643332171,0.653270291,0.663222723,0.673185576,0.683155512,0.693129665,0.703105437,0.713080325,0.723051892,0.733017763,0.742975613,0.752923167,0.762858187,0.772778476,0.782681866,0.792566219,0.802429425,0.812269396,0.82208408,0.831871473,0.841629617,0.851356592,0.861050518,0.870709547,0.880331861,0.889915672,0.899459216,0.908960752,0.918418563
19/01/2016,0.462693367,0.462462196,0.462568766,0.462504728,0.462083141,0.461348269,0.460486112,0.45980346,0.45963413,0.460246449,0.461818893,0.464462937,0.468190549,0.472929465,0.478591581,0.485082237,0.492302147,0.500148685,0.508517831,0.517315197,0.526463534,0.535899652,0.545571362,0.555435182,0.565454616,0.575598989,0.585842558,0.59616365,0.606543959,0.616967985,0.627422585,0.637896599,0.648380553,0.658866411,0.669347368,0.679817681,0.690272518,0.700707733,0.711119664,0.721505049,0.731860984,0.742184877,0.752474412,0.762727519,0.772942347,0.783117235,0.793250701,0.803341415,0.813388184,0.823389897,0.833345468,0.843253829,0.85311393,0.862924734,0.872685221,0.882394379,0.892051211,0.90165473,0.911203955,0.920697919
20/01/2016,0.461384748,0.46173114,0.462328492,0.462064194,0.460905065,0.459196449,0.457239627,0.455216028,0.453336802,0.451880914,0.451114045,0.451250424,0.452391954,0.454537492,0.457648851,0.461665892,0.466512981,0.472103297,0.478342793,0.485142202,0.492425262,0.500126538,0.508189066,0.51656259,0.52520229,0.534068727,0.543128036,0.552351067,0.56171257,0.571190549,0.580765734,0.590421154,0.600141795,0.609914303,0.619726755,0.629568455,0.639429781,0.649302148,0.659178002,0.669050702,0.678914412,0.688764001,0.698594963,0.708403346,0.718185692,0.727938979,0.737660578,0.747348213,0.756999916,0.766613941,0.776188677,0.78572263,0.795214412,0.804662732,0.814066384,0.823424243,0.832735258,0.841998441,0.851212867,0.860377667
21/01/2016,0.461063697,0.461123046,0.461209553,0.460122591,0.457820478,0.454695153,0.451244488,0.447972928,0.445378509,0.44388678,0.443785142,0.445226778,0.448172435,0.452446926,0.457876748,0.464300935,0.471567376,0.479530352,0.488050209,0.497005346,0.506300318,0.515860922,0.525629574,0.535561851,0.545623765,0.555788572,0.566034114,0.576341859,0.58669628,0.597084349,0.607495139,0.61791949,0.628349748,0.638779538,0.649203583,0.659617554,0.670017923,0.680401691,0.690766142,0.701108791,0.711427353,0.721719722,0.73198395,0.742218227,0.752420869,0.762590299,0.772725043,0.782823712,0.792884996,0.802907632,0.812890375,0.822831993,0.832731268,0.842586994,0.852397974,0.862163022,0.871880959,0.881550617,0.891170832,0.900740448
22/01/2016,0.461271314,0.46096815,0.460288118,0.458691404,0.45649065,0.45409101,0.451763922,0.449815091,0.448604666,0.448457751,0.449607272,0.452193598,0.45620258,0.461491178,0.467908429,0.475306971,0.483541985,0.492470487,0.501952,0.511861885,0.522102373,0.532597935,0.54329045,0.554135579,0.56509987,0.576157093,0.587285267,0.598465753,0.609682669,0.620922436,0.632173404,0.643425552,0.654670241,0.665900009,0.677108405,0.688289848,0.699439504,0.710553123,0.721626902,0.732657416,0.743641579,0.7545766,0.765459947,0.776289322,0.787062631,0.797777966,0.808433579,0.819027873,0.829559381,0.840026761,0.850428793,0.860764365,0.871032465,0.881232169,0.891362636,0.901423098,0.911412856,0.921331273,0.931177767,0.940951811
25/01/2016,0.462078187,0.460694368,0.458539001,0.455978196,0.453231779,0.450633587,0.4485212,0.447128941,0.446619,0.447090153,0.448573685,0.451058805,0.454518655,0.458924798,0.464230772,0.470375799,0.477288997,0.484892184,0.49310246,0.501839937,0.511033042,0.520617127,0.530532966,0.540725617,0.551143795,0.561741717,0.57248073,0.583328292,0.594256919,0.605243341,0.616267823,0.627313612,0.638366488,0.649414385,0.660447091,0.671455986,0.682433821,0.693374466,0.704272691,0.715124044,0.725924757,0.736671666,0.74736214,0.757994019,0.768565562,0.779075405,0.789522515,0.799906162,0.810225873,0.820481318,0.830672168,0.840798081,0.85085871,0.860853696,0.870782673,0.880645267,0.890441098,0.900169779,0.90983092,0.919424123
26/01/2016,0.462336795,0.460739784,0.459173957,0.457377484,0.455390547,0.453349231,0.451474418,0.450036497,0.449306656,0.449506012,0.450778028,0.453201495,0.456774722,0.46142942,0.467078996,0.473627168,0.480970816,0.489001885,0.497609809,0.506693423,0.516169082,0.52596754,0.536030816,0.546309849,0.55676276,0.567353994,0.578053688,0.588836712,0.599681848,0.610571143,0.621489377,0.63242364,0.64336298,0.654298117,0.6652212,0.676125614,0.687005801,0.697856992,0.708674953,0.719455898,0.730196434,0.740893519,0.751544415,0.762146656,0.772698018,0.783196494,0.793640267,0.804027695,0.814357289,0.824627683,0.83483761,0.844985889,0.855071415,0.865093154,0.875050137,0.884941454,0.894766247,0.904523706,0.914213068,0.923833608
27/01/2016,0.462689743,0.461426382,0.460157453,0.458600403,0.4568042,0.454964307,0.453396118,0.452446899,0.452413908,0.453479354,0.455694437,0.459024404,0.463395206,0.468723796,0.474924951,0.481912186,0.489598125,0.497894749,0.506714252,0.515975804,0.525610165,0.535557565,0.545765645,0.556187918,0.566782681,0.577513415,0.588349401,0.599264861,0.61023811,0.621250874,0.632287737,0.643335698,0.654383801,0.665422838,0.676445099,0.687444159,0.698414704,0.709352269,0.720253013,0.731113625,0.74193126,0.752703482,0.763428222,0.774103728,0.784728537,0.795301439,0.805821453,0.816287802,0.826699883,0.837057157,0.84735904,0.857604902,0.867794067,0.877925818,0.887999402,0.898014035,0.9079689,0.917863154,0.927695926,0.937466325
28/01/2016,0.462729368,0.461467082,0.459876087,0.45784392,0.455518477,0.45311415,0.450879044,0.449096686,0.448056931,0.447989748,0.449039401,0.451279476,0.454694614,0.459203935,0.464711103,0.471112686,0.478300242,0.486161707,0.494583556,0.503463165,0.51271724,0.522278332,0.532091397,0.542111211,0.552300393,0.562627797,0.573067239,0.583596594,0.594197103,0.604852805,0.615550092,0.626277337,0.637024596,0.647783359,0.658546348,0.669307341,0.680061025,0.690802745,0.701528294,0.712233839,0.722915883,0.733571216,0.744196889,0.75479018,0.76534857,0.775869722,0.786351461,0.796791755,0.807188702,0.817540503,0.827845429,0.838101822,0.848308081,0.85846266,0.868564061,0.878610835,0.888601569,0.89853489,0.90840946,0.918223972
29/01/2016,0.461806928,0.460405883,0.457429541,0.452880119,0.44713614,0.440739765,0.434148067,0.427704391,0.421787634,0.416814839,0.413089992,0.410740943,0.409762611,0.410080225,0.41159947,0.414215446,0.417815784,0.422282719,0.427495441,0.43334211,0.43972966,0.446580721,0.453830209,0.461422767,0.469310871,0.477453926,0.485817616,0.494372834,0.503094791,0.511962294,0.520957164,0.53006377,0.539268638,0.548560134,0.557928206,0.56736416,0.576860458,0.586410356,0.596007577,0.605646234,0.615320777,0.625025957,0.634756791,0.644508531,0.654276636,0.664056753,0.673844693,0.683636419,0.693428027,0.703215757,0.712996,0.722765286,0.732520268,0.742257716,0.751974502,0.761667592,0.771334039,0.780970973,0.790575598,0.800145183
